,Vertical_Dissonance_Ratio,Standard_Triads,Diminished_and_Augmented_Triads,Dominant_Seventh_Chords,Seventh_Chords,Non-Standard_Chords,Complex_Chords
00001REARM_OG.mid,0.1429, 0.25, 0.0, 0.0, 0.75, 0.0, 0.0
00003REARM_MIO.mid,0.2912, 0.0, 0.0, 0.0, 0.75, 0.25, 0.25
00004REARM_MIO.mid,0.1398, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0
00005REARM_MIO.mid,0.1589, 0.25, 0.0, 0.0, 0.5, 0.25, 0.0
00002REARM_MIO.mid,0.3501, 0.1429, 0.0, 0.2857, 0.4286, 0.4286, 0.2857
00004REARM_OG.mid,0.1739, 0.75, 0.0, 0.125, 0.125, 0.125, 0.0
00001SIMPLE_OG.mid,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
00006SIMPLE_OG.mid,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
00002REARM_OG.mid,0.2222, 0.625, 0.0, 0.125, 0.125, 0.25, 0.0
00005REARM_OG.mid,0.5461, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0
00004SIMPLE_OG.mid,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
00003SIMPLE_OG.mid,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
00002SIMPLE_OG.mid,0.08, 0.875, 0.0, 0.125, 0.125, 0.0, 0.0
00005SIMPLE_OG.mid,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
00003REARM_OG.mid,0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
00006REARM_MIO.mid,0.1398, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0
00001REARM_MIO.mid,0.3361, 0.0, 0.0, 0.0, 0.25, 0.75, 0.75
00006REARM_OG.mid,0.7989, 0.0, 0.0, 0.0, 0.0, 1.0, 0.5