Fecha;Nombre;Apellido;G1;G2;G3;G4;G5;G6;G7;GOLD_SCORE;SCORE_NORM;C1;L1;L2;L3;L4;L5;L6;H1;H2;H3;H4;H5;H6;C2;Correos;;
10-1-2025 10:07:00;nan;nan;7;7;2;3;1;6;5;31;0,60;B mucho más compleja que A;A mucho más compleja que B;Igual de complejas;Igual de complejas;A mucho más compleja que B;A mucho más compleja que B;B más compleja que A;B mucho más compleja que A;A mucho más compleja que B;B más compleja que A;B más compleja que A;Igual de complejas;B mucho más compleja que A;B mucho más compleja que A;nan;;
10-7-2025 17:55:04;nan;nan;7;7;6;2;0;0;2;24;0,46;B mucho más compleja que A;A más compleja que B;Igual de complejas;B más compleja que A;B más compleja que A;A más compleja que B;B mucho más compleja que A;Igual de complejas;A más compleja que B;B mucho más compleja que A;A mucho más compleja que B;B más compleja que A;B más compleja que A;B mucho más compleja que A;nan;;
10-7-2025 18:01:14;nan;nan;0;0;0;1;2;0;1;4;0,08;B más compleja que A;A más compleja que B;Igual de complejas;B mucho más compleja que A;A mucho más compleja que B;Igual de complejas;A más compleja que B;B mucho más compleja que A;A mucho más compleja que B;B mucho más compleja que A;Igual de complejas;B más compleja que A;A más compleja que B;B más compleja que A;nan;;
10-7-2025 18:04:49;nan;nan;0;0;0;1;7;1;1;10;0,19;B más compleja que A;Igual de complejas;A más compleja que B;B más compleja que A;A más compleja que B;Igual de complejas;A mucho más compleja que B;A mucho más compleja que B;A más compleja que B;B mucho más compleja que A;A mucho más compleja que B;B más compleja que A;B más compleja que A;B más compleja que A;nan;;
10-7-2025 19:55:19;nan;nan;0;0;0;0;0;0;2;2;0,04;A más compleja que B;B mucho más compleja que A;A mucho más compleja que B;B mucho más compleja que A;Igual de complejas;B más compleja que A;A más compleja que B;B más compleja que A;A mucho más compleja que B;B mucho más compleja que A;Igual de complejas;B más compleja que A;B más compleja que A;B más compleja que A;nan;;
10-7-2025 23:17:20;nan;nan;0;0;0;2;0;1;3;6;0,12;B mucho más compleja que A;B mucho más compleja que A;A más compleja que B;A más compleja que B;Igual de complejas;B más compleja que A;B más compleja que A;A más compleja que B;B más compleja que A;B más compleja que A;A más compleja que B;B más compleja que A;A mucho más compleja que B;B más compleja que A;nan;;
10-7-2025 23:42:32;nan;nan;7;7;3;1;3;3;3;27;0,52;B mucho más compleja que A;A mucho más compleja que B;B más compleja que A;A más compleja que B;B mucho más compleja que A;A mucho más compleja que B;B mucho más compleja que A;A más compleja que B;B mucho más compleja que A;A más compleja que B;B más compleja que A;A mucho más compleja que B;B mucho más compleja que A;B más compleja que A;nan;;
10-7-2025 23:49:06;nan;nan;0;0;0;0;0;0;0;0;0,00;B más compleja que A;B mucho más compleja que A;Igual de complejas;A más compleja que B;B más compleja que A;A más compleja que B;B más compleja que A;B más compleja que A;B más compleja que A;A más compleja que B;B más compleja que A;A más compleja que B;Igual de complejas;B más compleja que A;nan;;
10-7-2025 23:56:17;nan;nan;0;7;2;3;2;2;5;21;0,40;B más compleja que A;A más compleja que B;B más compleja que A;A más compleja que B;B más compleja que A;B más compleja que A;A mucho más compleja que B;Igual de complejas;A más compleja que B;B mucho más compleja que A;Igual de complejas;B mucho más compleja que A;B mucho más compleja que A;B mucho más compleja que A;nan;;
10-8-2025 0:13:10;nan;nan;0;0;0;2;0;0;2;4;0,08;B más compleja que A;Igual de complejas;B más compleja que A;Igual de complejas;B más compleja que A;B más compleja que A;A más compleja que B;Igual de complejas;A más compleja que B;A más compleja que B;A más compleja que B;A mucho más compleja que B;Igual de complejas;B más compleja que A;nan;;
10-8-2025 9:39:14;nan;nan;7;7;10;3;6;6;6;45;0,87;B mucho más compleja que A;B mucho más compleja que A;B más compleja que A;A mucho más compleja que B;B más compleja que A;B mucho más compleja que A;B mucho más compleja que A;A mucho más compleja que B;B más compleja que A;Igual de complejas;Igual de complejas;B mucho más compleja que A;A más compleja que B;B mucho más compleja que A;nan;;
10-8-2025 9:52:17;nan;nan;7;7;4;2;2;2;3;27;0,52;B más compleja que A;A más compleja que B;B más compleja que A;A más compleja que B;B más compleja que A;A más compleja que B;B más compleja que A;A mucho más compleja que B;B más compleja que A;A más compleja que B;A más compleja que B;B mucho más compleja que A;A más compleja que B;B más compleja que A;nan;;
10-8-2025 10:02:30;nan;nan;7;7;10;2;2;10;4;42;0,81;B mucho más compleja que A;B más compleja que A;A más compleja que B;A más compleja que B;Igual de complejas;B más compleja que A;B más compleja que A;A más compleja que B;A más compleja que B;B más compleja que A;Igual de complejas;B más compleja que A;Igual de complejas;B más compleja que A;nan;;
10-8-2025 12:40:26;nan;nan;7;7;0;2;1;0;2;19;0,37;B más compleja que A;Igual de complejas;A mucho más compleja que B;B mucho más compleja que A;A más compleja que B;B más compleja que A;B más compleja que A;A más compleja que B;A más compleja que B;B mucho más compleja que A;B más compleja que A;Igual de complejas;A más compleja que B;B más compleja que A;nan;;
10-8-2025 14:35:52;nan;nan;0;0;10;1;0;0;2;13;0,25;B más compleja que A;B mucho más compleja que A;B mucho más compleja que A;B más compleja que A;A más compleja que B;B más compleja que A;A más compleja que B;A más compleja que B;B más compleja que A;B mucho más compleja que A;A mucho más compleja que B;B más compleja que A;Igual de complejas;B más compleja que A;nan;;
10-8-2025 15:14:41;nan;nan;7;7;5;2;3;10;1;35;0,67;B mucho más compleja que A;B más compleja que A;B más compleja que A;A mucho más compleja que B;A más compleja que B;B mucho más compleja que A;B más compleja que A;A mucho más compleja que B;A más compleja que B;B mucho más compleja que A;A mucho más compleja que B;B mucho más compleja que A;B mucho más compleja que A;B mucho más compleja que A;nan;;
10-8-2025 17:26:32;nan;nan;0;7;5;2;0;0;2;16;0,31;B más compleja que A;B más compleja que A;A mucho más compleja que B;A más compleja que B;Igual de complejas;B más compleja que A;B más compleja que A;Igual de complejas;A más compleja que B;B más compleja que A;A más compleja que B;B más compleja que A;Igual de complejas;B mucho más compleja que A;nan;;
10-9-2025 9:07:16;nan;nan;7;7;4;1;4;4;6;33;0,63;B mucho más compleja que A;A más compleja que B;A más compleja que B;A más compleja que B;A más compleja que B;B mucho más compleja que A;B más compleja que A;A más compleja que B;Igual de complejas;B mucho más compleja que A;A más compleja que B;B mucho más compleja que A;A más compleja que B;B más compleja que A;nan;;
10-9-2025 10:22:50;nan;nan;0;0;1;3;0;0;0;4;0,08;B más compleja que A;A más compleja que B;B mucho más compleja que A;B más compleja que A;A mucho más compleja que B;B más compleja que A;A mucho más compleja que B;A más compleja que B;B mucho más compleja que A;B mucho más compleja que A;B más compleja que A;A mucho más compleja que B;B mucho más compleja que A;B más compleja que A;nan;;
10-9-2025 23:06:10;nan;nan;7;7;1;2;1;1;1;20;0,38;B más compleja que A;B más compleja que A;A más compleja que B;B más compleja que A;A más compleja que B;B más compleja que A;A más compleja que B;B más compleja que A;A más compleja que B;B más compleja que A;A más compleja que B;B más compleja que A;A más compleja que B;B más compleja que A;nan;;
10-9-2025 23:44:25;nan;nan;0;0;1;1;1;1;1;5;0,10;B mucho más compleja que A;B mucho más compleja que A;B mucho más compleja que A;A mucho más compleja que B;B mucho más compleja que A;A mucho más compleja que B;B mucho más compleja que A;A mucho más compleja que B;B mucho más compleja que A;A mucho más compleja que B;B más compleja que A;A mucho más compleja que B;B mucho más compleja que A;B mucho más compleja que A;nan;;
10-10-2025 9:58:41;nan;nan;7;0;5;3;1;5;5;26;0,50;B más compleja que A;Igual de complejas;B más compleja que A;A mucho más compleja que B;Igual de complejas;B más compleja que A;B mucho más compleja que A;B más compleja que A;B más compleja que A;Igual de complejas;A mucho más compleja que B;B mucho más compleja que A;Igual de complejas;B más compleja que A;nan;;
10-10-2025 17:31:41;nan;nan;0;0;0;4;1;6;1;12;0,23;B más compleja que A;Igual de complejas;Igual de complejas;Igual de complejas;Igual de complejas;Igual de complejas;Igual de complejas;A más compleja que B;Igual de complejas;A más compleja que B;Igual de complejas;Igual de complejas;B más compleja que A;B más compleja que A;nan;;
10-12-2025 0:24:16;nan;nan;0;0;0;0;1;0;1;2;0,04;B mucho más compleja que A;B más compleja que A;B más compleja que A;B mucho más compleja que A;B más compleja que A;B mucho más compleja que A;B más compleja que A;B mucho más compleja que A;A más compleja que B;B más compleja que A;A más compleja que B;B más compleja que A;B mucho más compleja que A;B más compleja que A;nan;;
10-12-2025 22:45:15;nan;nan;0;0;2;3;0;10;4;19;0,37;B más compleja que A;A mucho más compleja que B;A más compleja que B;A mucho más compleja que B;B más compleja que A;B mucho más compleja que A;B mucho más compleja que A;B mucho más compleja que A;A mucho más compleja que B;B mucho más compleja que A;B más compleja que A;B mucho más compleja que A;B más compleja que A;B mucho más compleja que A;nan;;
10-13-2025 11:59:20;nan;nan;7;7;10;4;0;10;2;40;0,77;B más compleja que A;Igual de complejas;B mucho más compleja que A;B más compleja que A;A más compleja que B;B más compleja que A;B más compleja que A;A mucho más compleja que B;Igual de complejas;Igual de complejas;B más compleja que A;B mucho más compleja que A;B más compleja que A;B mucho más compleja que A;nan;;
10-14-2025 11:21:09;nan;nan;0;0;5;3;4;0;2;14;0,27;B más compleja que A;B mucho más compleja que A;B más compleja que A;B mucho más compleja que A;A mucho más compleja que B;B más compleja que A;B mucho más compleja que A;B más compleja que A;A más compleja que B;Igual de complejas;B más compleja que A;A mucho más compleja que B;B más compleja que A;A más compleja que B;nan;;
10-14-2025 19:19:05;nan;nan;0;0;0;0;0;0;0;0;0,00;B más compleja que A;B más compleja que A;A más compleja que B;Igual de complejas;Igual de complejas;B más compleja que A;B más compleja que A;B más compleja que A;B más compleja que A;B más compleja que A;A más compleja que B;B más compleja que A;A más compleja que B;Igual de complejas;nan;;
10-15-2025 2:26:11;nan;nan;7;7;2;3;0;2;3;24;0,46;B mucho más compleja que A;B más compleja que A;A más compleja que B;B más compleja que A;Igual de complejas;B más compleja que A;A más compleja que B;B más compleja que A;A más compleja que B;B más compleja que A;A más compleja que B;B mucho más compleja que A;Igual de complejas;B mucho más compleja que A;nan;;
10-15-2025 9:08:32;nan;nan;7;0;2;2;1;1;1;14;0,27;B más compleja que A;A más compleja que B;B mucho más compleja que A;A mucho más compleja que B;B más compleja que A;Igual de complejas;B más compleja que A;A mucho más compleja que B;A más compleja que B;B más compleja que A;A más compleja que B;B mucho más compleja que A;B más compleja que A;B más compleja que A;nan;;
10-15-2025 22:15:27;nan;nan;0;7;0;0;1;5;5;18;0,35;B más compleja que A;Igual de complejas;Igual de complejas;Igual de complejas;Igual de complejas;Igual de complejas;B más compleja que A;Igual de complejas;Igual de complejas;A más compleja que B;Igual de complejas;Igual de complejas;Igual de complejas;B más compleja que A;nan;;
10-16-2025 13:18:46;nan;nan;0;0;1;3;0;0;1;5;0,10;B más compleja que A;Igual de complejas;A más compleja que B;A más compleja que B;Igual de complejas;B más compleja que A;Igual de complejas;B más compleja que A;B más compleja que A;B mucho más compleja que A;Igual de complejas;B más compleja que A;Igual de complejas;B mucho más compleja que A;nan;;
10-16-2025 13:35:26;nan;nan;7;7;10;4;2;5;3;38;0,73;B mucho más compleja que A;B mucho más compleja que A;B más compleja que A;Igual de complejas;A más compleja que B;B más compleja que A;B más compleja que A;B mucho más compleja que A;Igual de complejas;B más compleja que A;A más compleja que B;B mucho más compleja que A;A más compleja que B;B más compleja que A;nan;;
10-16-2025 15:30:52;nan;nan;7;0;10;3;4;10;3;37;0,71;B mucho más compleja que A;B mucho más compleja que A;Igual de complejas;A más compleja que B;B más compleja que A;Igual de complejas;B más compleja que A;Igual de complejas;Igual de complejas;B mucho más compleja que A;Igual de complejas;B mucho más compleja que A;Igual de complejas;B más compleja que A;nan;;
10-16-2025 15:50:46;nan;nan;0;0;0;1;0;1;2;4;0,08;Igual de complejas;Igual de complejas;A más compleja que B;B más compleja que A;A más compleja que B;B más compleja que A;Igual de complejas;B más compleja que A;A más compleja que B;B más compleja que A;Igual de complejas;B más compleja que A;B más compleja que A;Igual de complejas;nan;;
10-16-2025 16:06:04;nan;nan;7;7;4;2;1;5;2;28;0,54;B más compleja que A;B mucho más compleja que A;B más compleja que A;Igual de complejas;Igual de complejas;A mucho más compleja que B;Igual de complejas;A más compleja que B;B más compleja que A;B más compleja que A;A mucho más compleja que B;B mucho más compleja que A;Igual de complejas;B mucho más compleja que A;nan;;
